n,k,t_GV,Avg_Time_sec
10,5,2,0.0015273240016540513
12,6,2,0.0020553370006382464
14,7,3,0.004464779401314445
16,8,3,0.005685733194695786
18,9,3,0.007111923096817918
20,10,3,0.007503211492439732
22,11,4,0.016706752096069977
24,12,4,0.031516007304890084
26,13,4,0.042348616602248514
28,14,4,0.059971776502788995
30,15,5,0.1668660650087986
