t,Time_sec
1,0.0006885003337326149
2,0.001080853335831004
3,0.003367994664586149
4,0.01272837033320684
5,0.03948657933021119
6,0.1245864323330655
7,0.2008436466664231
8,0.3160534999963905
9,0.434748728662574
10,0.5116227783291833
