t,Time_sec
1,0.0006961596712547665
2,0.0010941119980998337
3,0.0034728396664528796
4,0.011694095669857537
5,0.0422993260047709
6,0.14985248234006576
7,0.23136470900014197
8,0.34471287933411077
9,0.5653386569950575
10,0.6426896680010638
