n,k,t,Time_BruteForce_sec,Time_Dumer_sec
10,5,0,6.608632975257933e-05,0.00025920066400431097
12,6,0,5.913332764369746e-05,0.00023575666515777508
14,7,1,0.00016927333005393544,0.0008924563298933208
16,8,1,0.000362170326601093,0.0007504683259564141
18,9,1,0.00038980634417384863,0.0010181076650042087
20,10,1,0.0003147093326939891,0.001003818984221046
22,11,1,0.0005515986704267561,0.0009187403387234857
24,12,1,0.00043283100239932537,0.001304601338536789
26,13,1,0.0008016723343947282,0.001052658665381993
