n,k,t,Time_SDP_sec,Time_ESD_sec
10,5,2,0.009444862002662072,0.0007636040002883723
12,6,2,0.010725680665927939,0.0009022346591033662
14,7,2,0.013395246322033927,0.0008377706593212982
16,8,3,0.014510564666124992,0.0016612536661947768
18,9,3,0.016052385336176183,0.0019950236649795747
20,10,4,0.0181316536666903,0.010410928671869138
22,11,4,0.024605360338076327,0.01780062100442592
