n,k,t,Time_sec
10,5,2,0.0008825023348132769
12,6,2,0.0009032273325525845
14,7,2,0.000946594329434447
16,8,3,0.002071841668415194
18,9,3,0.0022893823334015906
20,10,4,0.01057475066530363
22,11,4,0.02003829999982069
