n,k,q,Tiempo_Mejor_Segundos,Tasa_R
60,30,2,0.932418,0.5
60,30,3,1.996517,0.5
60,30,5,2.605354,0.5
60,30,7,2.798089,0.5
60,30,11,2.899042,0.5
60,30,13,3.090753,0.5
60,30,17,2.992328,0.5
