n,k,t,Time_sec
10,5,2,0.0006950377995963208
12,6,2,0.0009060536976903677
14,7,2,0.001171375100966543
16,8,3,0.001512514697969891
18,9,3,0.0019091261026915162
20,10,4,0.008162329698097891
22,11,4,0.018795992802188265
24,12,4,0.027357584999117536
26,13,5,0.18272724699781975
28,14,5,0.2412969635988702
30,15,6,1.3342633114007185
